videoId,title,description,tags,clean_text,keywords,category,category_confidence,viewCount,likeCount,commentCount,engagement_rate,avg_views,avg_likes,avg_comments,avg_engagement_rate
14147,Hair cut and styling,no description,[],hair cut and styling no description,hair extensions,Hair Transformations & Makeovers,0.6003673,40,6,0,0.15,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
39172,#Fullbody bleach#backbody bleach#back,no description,[],#fullbody bleach#backbody bleach#back no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,184,7,1,0.0434782608695652,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
83660,#Ombre balayge Hair colour##,no description,[],#ombre balayge hair colour## no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,1077,26,0,0.0241411327762302,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
15027,#balayage #transformation #haircolor,no description,[],#balayage #transformation #haircolor no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,991,19,0,0.0191725529767911,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
71192,Trying on Halo Extensions  on my friend &amp; her reaction to as priceless | nish hair,no description,[],trying on halo extensions on my friend amp her reaction to as priceless nish hair no description,hair extensions,Hair Transformations & Makeovers,0.6003673,2990125,141724,648,0.0476140629572342,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
17678,TAPE HAIR EXTENSIONS,no description,[],tape hair extensions no description,hair extensions,Hair Transformations & Makeovers,0.6003673,566,16,0,0.0282685512367491,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
87472,Hair extensions,no description,[],hair extensions no description,hair extensions,Hair Transformations & Makeovers,0.6003673,233,0,0,0.0,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
74467,Our hair styling ♥️,no description,[],our hair styling no description,hair extensions,Hair Transformations & Makeovers,0.6003673,421,15,0,0.0356294536817102,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
76546,stylish hair clip❤️❤️😍,no description,[],stylish hair clip no description,hair extensions,Hair Transformations & Makeovers,0.6003673,33,1,0,0.0303030303030303,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
53587,HAIR EXTENSIONS IN STOCK ❤️❤️MUST WATCH,no description,[],hair extensions in stock must watch no description,hair extensions,Hair Transformations & Makeovers,0.6003673,684,18,2,0.0292397660818713,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
19046,Hair extensions 30 inches,no description,[],hair extensions 30 inches no description,hair extensions,Hair Transformations & Makeovers,0.6003673,4709,124,8,0.0280314291781694,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
4384,#Shorts Heatless Curls With A Pop Of Color | Natural Hair,"#shorts #permrods #permrodset #heatlesscurls #youtubeshorts 

For the Full video click here https://youtu.be/BX1ACAPUXHc

Follow me on IG and Tiktok: CurlswithloveNJ","['Shorts', 'PermRods', 'Permrod set on natural hair', 'Ors color blast', 'Ors curls Unleashed', 'Hair wax on natural hair', 'Natural hair shorts', 'Hair paint on natural hair', 'Natural hair heartless curls', 'Heatless curls', 'Heatless curls on natural hair', '4c natural hair shorts']",#shorts heatless curls with a pop of color natural hair #shorts #permrods #permrodset #heatlesscurls #youtubeshorts for the full video click here follow me on ig and tiktok curlswithlovenj shorts permrods permrod set on natural hair ors color blast ors curls unleashed hair wax on natural hair natural hair shorts hair paint on natural hair natural hair heartless curls heatless curls heatless curls on natural hair 4c natural hair shorts,hairstyles longhair,Hair Transformations & Makeovers,0.5721877,2679,124,6,0.0485255692422545,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
260,Simple and beautiful hair pins 👍😘,no description,[],simple and beautiful hair pins no description,hair extensions,Hair Transformations & Makeovers,0.6003673,1426,38,0,0.0266479663394109,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
32010,#myjourney #hairstyles,no description,[],#myjourney #hairstyles no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,1020,11,3,0.0137254901960784,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
5552,Hair extensions ❤️☎️8826774495,no description,[],hair extensions 8826774495 no description,hair extensions,Hair Transformations & Makeovers,0.6003673,6482,208,4,0.0327059549521752,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
12940,#With #Waves #Hair ❤️ #Colour,no description,[],#with #waves #hair #colour no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,545,23,0,0.0422018348623853,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
2437,"EVERYDAY EASY GO TO HAIR LOOK, #shorts, #hairshorts, #howto, #youtubeshorts, #haircare, #hairday","Easy to wear hairstyles
Hairstyles for daily wear
Simple hair look
Simple and cute hair look
#shorts
#youtubeshorts","['#shorts', '#youtube shorts', '#hairstyles', '#easy to wear looks', '#easy to do hairstyle', '#cute and simple hairbraid', '#summer hair looks', '#hair styles for all', '#hairstyle passtym', '#haistyle to do', '#athomehairlooks', '#simple hair looks', '# teenage hair styles', '# cute hairstyles', '#style your hair', '#easy and fun to do hair looks', '#hairstyles for events', '#hair style for parties', '#hairstyle to rock in style', '# on the go hairstyle', '#friendly hairlooks', '#pinterest hairstyle', '#tiktok hairstyle']",everyday easy go to hair look #shorts #hairshorts #howto #youtubeshorts #haircare #hairday easy to wear hairstyles hairstyles for daily wear simple hair look simple and cute hair look #shorts #youtubeshorts #shorts #youtube shorts #hairstyles #easy to wear looks #easy to do hairstyle #cute and simple hairbraid #summer hair looks #hair styles for all #hairstyle passtym #haistyle to do #athomehairlooks #simple hair looks # teenage hair styles # cute hairstyles #style your hair #easy and fun to do hair looks #hairstyles for events #hair style for parties #hairstyle to rock in style # on the go hairstyle #friendly hairlooks #pinterest hairstyle #tiktok hairstyle,hairstyles longhair,Hair Transformations & Makeovers,0.5721877,656,16,2,0.0274390243902439,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
6196,#mukeshvelocity #hair cut,no description,[],#mukeshvelocity #hair cut no description,mukeshvelocity hair cut,Hair Transformations & Makeovers,0.54234123,207,22,0,0.1062801932367149,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
84121,Hailey Bieber Bun Tutorial | Sleek &amp; Heatless Hairstyle #shorts,"Which hairstyle should I do next? 

#Shorts #style #hairtutorial #haileybieberhair #haileybieber #heatlesshairstyle #sleekbun #sleekbuntutorial #styletips #lookbook #springoutfit #inspo #fits #styleinspo #fashiontipsforwomen 
------------------------------------------------------------------------------

Don't forget to follow me on Instagram/Pinterest/TikTok!
INSTAGRAM: http://www.instagram.com/mypassportstyle
TIKTOK: https://bit.ly/3fAo6iY 
PINTEREST: https://www.pinterest.com/mypassportstyle

Connect with me Online:

FOLLOW me on Instagram: http://www.instagram.com/mypassportstyle
FOLLOW me on Tik Tok: https://bit.ly/3fAo6iY 

https://www.youtube.com/channel/UCWsklinkHESX4DBbPHm_nkQ",[],hailey bieber bun tutorial sleek amp heatless hairstyle #shorts which hairstyle should i do next #shorts #style #hairtutorial #haileybieberhair #haileybieber #heatlesshairstyle #sleekbun #sleekbuntutorial #styletips #lookbook #springoutfit #inspo #fits #styleinspo #fashiontipsforwomen don t forget to follow me on instagram pinterest tiktok instagram tiktok pinterest connect with me online follow me on instagram follow me on tik tok,hairstyles longhair,Hair Transformations & Makeovers,0.5721877,52111,1256,3,0.0241599662259407,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
48631,haircut hair styling 💇🏼‍♀️👈,no description,[],haircut hair styling no description,hair extensions,Hair Transformations & Makeovers,0.6003673,1422,37,0,0.0260196905766526,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
2013,#shorts#Bhawanakevideos#baldness#haircare#hairregrowth,"#healthyhair, #naturalhair,#hair, #hairstylist, #ganjapankaisedoorksre, #haircolor, #protectivestyles, #haircare,#jhdtebalokailaaz,#hairoilathome,#onionoil,#castoroil,#coconutoil #hairgoals,#curlyhair,#beauty #balayage, #behindthehair, #voiceofhair #curls #colordamagedhair #hairfall #braids #longhair,#baldnessoil, #blackgirlmagic #locs, #teamnatural","['#healthyhair, #naturalhair,#hair, #hairstylist, #ganjapankaisedoorksre, #haircolor, #protectivestyles, #haircare,#jhdtebalokailaaz,#hairoilathome,#onionoil,#castoroil,#coconutoil #hairgoals,#curlyhair,#beauty #balayage, #behindthehair, #voiceofhair #curls #colordamagedhair #hairfall #braids #longhair,#baldnessoil, #blackgirlmagic #locs']",#shorts#bhawanakevideos#baldness#haircare#hairregrowth #healthyhair #naturalhair #hair #hairstylist #ganjapankaisedoorksre #haircolor #protectivestyles #haircare #jhdtebalokailaaz #hairoilathome #onionoil #castoroil #coconutoil #hairgoals #curlyhair #beauty #balayage #behindthehair #voiceofhair #curls #colordamagedhair #hairfall #braids #longhair #baldnessoil #blackgirlmagic #locs #teamnatural #healthyhair #naturalhair #hair #hairstylist #ganjapankaisedoorksre #haircolor #protectivestyles #haircare #jhdtebalokailaaz #hairoilathome #onionoil #castoroil #coconutoil #hairgoals #curlyhair #beauty #balayage #behindthehair #voiceofhair #curls #colordamagedhair #hairfall #braids #longhair #baldnessoil #blackgirlmagic #locs,hairstyles longhair,Hair Transformations & Makeovers,0.5721877,65,8,0,0.123076923076923,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
81223,"Permanent hair extentions at Alisha’s empire salon ☎️9899130018,7838480808",no description,[],permanent hair extentions at alisha s empire salon 9899130018 7838480808 no description,hair extensions,Hair Transformations & Makeovers,0.6003673,1260,15,0,0.0119047619047619,267421.8798076923,5809.962225274725,41.589972527472526,0.028139946668790827
